,RMSE,MAE,QLIKE
gb_tree,0.0018515147459486373,0.001399701663107856,0.09611402391748053
ols,0.0018428094765820134,0.0013880656365340704,0.09779686560751559
garch11,0.0018891067241344134,0.0014752336630497916,0.10071870428415576
har,0.0018673413557901215,0.001406657296216609,0.10100506714091881
rolling50,0.0018737832574316764,0.0013863285574553523,0.10126721040123135
ewma030,0.0022022633122713814,0.0016248852352607915,0.13744411396440748
elastic_net_1,0.0022337431132265005,0.0018357034525960303,0.1374462761418064
elastic_net_1e-3,0.0022337431132265005,0.0018357034525960303,0.1374462761418064
rolling5,0.0021353497108487552,0.0015947099973191315,0.1388274106373265
naive,0.0023492456526419537,0.0017481272222774845,0.18884105810865265
ewma080,0.00293166375589888,0.0021943638479087835,0.40725347837769754
